//* Dialogue lines start with a code like "v2;30;" which specify who is speaking and when the line shows up. Please copy it exactly in your translations.
//* First half of the line (till the /) is in the villagers' language and must be kept as-is, second part should be translated

newchat;key:sun,tag:notraining,weigth:18
v1;60;Akrivos! O syzygos mou mou eipe mono oti o varonos aftoktonise ti gynaika tou! / そうなの！旦那から聞いたんだけど、領主様が自分で殺したそうよ！
v2;100; .. Ti? / なんですって...？
v2;130;Panta ixera oti eprokeito na! / 私はずっと気づいていたのよ！
v2;150;Alla kaneis den me pisteve ..! / でも、誰も信じてくれなかったわ...！

newchat;key:chatter11,v1:female,v2:female,v1:adult,v2:adult,v1:hasspouse,weigth:15
v1;0;Echete pote skeftei gia to pos tha itan an eichame ton polemo? / もし戦争になったらどうなるか考えたことはある？
v1;30;Yparchoun akomi kai tora oi andres agonizontai gia ti chora mas! / 今だって帝国のために戦っている男たちがいるわ！
v1;55;Thavmazo pragmatika tous! / 本当に尊敬しちゃう！
v2;80;Enas polemos tha einai tromero. / 戦争は悲惨よ
v2;110;Ego na mantepsete akrivos san stratiotes. / あなたは戦士が好きなだけよ
v2;140;Alla echete enan antra! / 戦士より旦那さんがいるでしょ！
v1;170;Alla enas tempelis kai sychna methysmenos ena! / 怠け者で酔っぱらいの夫がね！

//newchat;key:talking1,v1:male,v2:male,v1:adult,v2:adult,v1:hasspouse,v2:notvtype:patriarch_byzantine-pastor_byzantine,weigth:15
//v1;0;Xerete tin omorfia sto geitoniko chorio? / 隣り村の美女をしってるか？
//v2;30;Fysika, einai poly charitomeno. / もちろんさ、すっごく可愛いよな
//v1;60;Ti tha ginei me tin episkepsi tis? / なぁ会いに行ってみないか？
//v2;90;Xerete oti i gynaika sas tha trelatho tote! / そんなことしたら、お前の奥さんが発狂するだろ！

//newchat;key:talking2,v1:male,v2:male,v1:adult,v2:adult,v1:notvtype:artisan_byzantine-pastor_byzantine-patriarch_byzantine,v2:notvtype:artisan_byzantine-pastor_byzantine-patriarch_byzantine,weigth:15
//v1;0;Syzygos tou techniti einai poly omorfos, ti nomizete? / あの職人の奥さんって美人だよな、どう思う？
//v2;40;Nai, den einai kako. Dystychos afti einai idi pantremeni! / あぁ、麗人だよな。悲しいことに既婚者だが
//v1;70;Kala nai. Kai den tha itan dikaii gia afton. / ほんとにな。不公平だよまったく
//v2;100;Symfono. / そうだな

newchat;key:talking3,v1:male,v2:male,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,weigth:15
v1;0;Den echoume arketo krasi se afto to chorio! / この村にはワインが足りてないんだ！
v2;30;Symfono! Prepei na chtisoume pano ampelia! / 同感だ！もっとワイン醸造所を増やさないと！
v1;60;Kai perissoteres tavernes! / 酒場も！
v2;90;Ti tha ginei me to anoigma diki mas taverna? / 自分たちで酒場を開くのはどうだろう？
v1;120;Megali idea! As to schedio afto. / いい考えだ。計画を練ろう
v2;150;Alla pou na archisoume? / でもどこで開くんだ？
v1;180;Kai oi gynaikes mas den tha einai eftychis na akouso afto! / 妻は歓迎しないだろうな！
v2;210;Ochi, polisi romaiko krasi einai panta mia dikaiologia! / ローマワインを売る口実があるじゃないか！
v1;240;Entaxei! Sti synecheia, afiste mas na exoikonomisete chrimata mas. / いいだろう、ではお金を貯めないとな
v1;270;Otan echoume kerdisei arketa, as ekplirosei to schedio mas! / 十分に稼いだら、計画を実行しよう！
v2;300;Tha echoume ti megalyteri taverna se oli tin aftokratoria! / 帝国で一番の酒場を作ろうじゃないか！
v1;325;Sigoura! / おう！

//newchat;key:talking4,v1:male,v2:male,v1:adult,v2:adult,v1:vtype:miner_byzantine-farmiller_byzantine-lumberman_byzantine,v2:vtype:miner_byzantine-farmiller_byzantine-lumberman_byzantine,weigth:15
//v1;0;Echete dokimasei pote Norman ergaleia? / なぁノルマン人の奴らの道具は試してみたか？
//v2;30;Ochi, alla echo akousei oti einai poly apotelesmatiki! / いや未だだが、中々の優れ物だと聞いたぞ！
//v1;60;Einai alitheia. Pote den eicha doulepsei me tetoia kala ergaleia prin. / その通りだ。こんなに良い道具を使って仕事をしたのは初めてだったなぁ
//v2;90;Perimenete ... Echete ena ergaleio Norman? / 待てよ...お前、ノルマン人の道具を今持ってるのか？
//v1;120;Err, eicha. Echei kapos chathei! / あぁ、以前はな。何をどうやったか無くしちまったんだ！
//v2;140;TI? Eiches ena tetoio ergaleio kai na to chasei? / そんな優れた道具を持っていたのに失くしたのか？
//v1;170;Nai ... Tora yparchoun mono anamniseis aristera ... / あぁ...思い出しか残ってないよ...

//newchat;key:talking5,v1:male,v2:male,v1:adult,v2:adult,v1:notvtype:pastor_byzantine-patriarch_byzantine-armysmith_byzantine-baron_byzantine,v2:notvtype:pastor_byzantine-patriarch_byzantine-armysmith_byzantine-baron_byzantine,weigth:15
//v1;0;Boom! Imoun molis einai se thesi na elenxei exo ti nea ropalo! / どうだ！今ちょうどこの新しいメイスが仕上がったんだ！
//v2;30;Nai! Prokeitai gia ena fovero oplo! Einai chtypa tous echthrous makria! / おぉ!すごい武器だ！敵が遠くまで吹っ飛びそうだ！
//v1;60;Entyposiako, e? Afto to aristourgima Romaiki den borei na synkrithei me otidipote allo se afto ton kosmo. / 感動しただろ？これほどの傑作は、他所じゃ中々お目にかかれやしないぞ
//v2;100;Thats giati boroume na eimaste yperifanoi na einai Romaioi! / こんな傑物を作り上げてしまうローマ人は我々の誇りだな！

newchat;key:talking6,v1:male,v2:male,v1:adult,v2:adult,weigth:15
v1;0;Megali trofimon, megala opla, megali techni - afto einai o, ti einai to ethnos mas! / 素晴らしい料理、素晴らしい武器、偉大な芸術...それが私たちの帝国だ！
v2;30;Kai kalo krasi! / そして素晴らしいワインも！

newchat;key:talking7,v1:male,v2:male,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,weigth:15
v1;0;Echo varethei ti syzygo mou. Thelo na echo ena kainourgio! / 妻には飽きた、新しい妻が欲しい！
v2;30;Poios den echei? / 誰でもそうだろう？
v1;60;Isos prepei na afisoume xafnika to chorio kai sti synecheia na psaxoume gia nea! / 突然村を出て新しい妻を探しに行くってのはどうだ！
v2;90;Nai! Oi Magia kai oi Indoi echoun tetoies omorfes gynaikes, echete dei? / いいね！マヤ人やインド人には美人が多いそうだ、見たことはあるかい？
v2;140;Alla ... To chorio chanetai choris emas. / だが...私たちがいないと、この村は亡くなってしまう
v2;160;Kai min xechnate ta paidia mas! / おい子供たちのことも忘れるな！
v1;180;Urgh! Ta paidia mas! Den tha epiviosei choris patera! / うわぁ！私の子供たち！父親がいないと生きていくのは大変だよなぁ
v1;220;Alla ... afto den simainei oti prepei na synechisoume me vareti zoi mas edo? / それはそうなんだが、このまま退屈な生活を続けるしかないのか？
v2;255;Ypotheto oti aftos einai o kalyteros tropos na paei. / これで一番いいのさ、きっと

newchat;key:talking8,v1:male,v2:male,v1:adult,v2:adult,v2:vtype:silkfarmer_byzantine,weigth:15
v1;0;Einai apistefto poso leptomeri matia eikones sas. / あなたのイコンの精密さには驚きです
v2;30;Fysika, dedomenou oti einai megali romaiki techni! / もちろん、素晴らしいローマ美術ですからね！
v1;60;Opos kai o, ti kanoume. Koitaxte omorfa spitia mas! / 美術だけでなく全てにおいてローマは素晴らしい！私たちの家一つをとってもそうさ！
v2;90;Kai min xechnate endoxi istoria mas! / 輝かしい栄光の歴史も忘れてはならないね！

newchat;key:talking9,v1:male,v2:male,v1:adult,v2:adult,weigth:15
v1;0;Thymaste to koritsi pou polemisan pano stin paidiki ilikia mas? / 子どもの頃に喧嘩した娘のこと覚えてる？
v2;30; Nai ... Itan mia poly kaki stigmi. Kali oti einai pano. / あぁ...最悪だな。過ぎたことだろ、もういいじゃないか
v1;60;Chairomai pou to akouo, giati mou eipe apla oti mou arese panta! / それを聞いて安心したよ、ついこの間、彼女から告白されちゃってさ！
v2;90;Ti? Afto den einai alitheia! / は？ちょっと待て嘘だろ！

newchat;key:flirt1,v1:male,v2:female,v1:adult,v2:adult,v1:hasspouse,v2:nospouse,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Geia sou omorfia, sas aresei afto pou vlepete? / 綺麗だね、今夜一緒にどう？
v2;20;*chastouki* / *バシッ*
v2;25;Echete mia gynaika. / 奥さんがいるでしょう

newchat;key:flirt2,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Geia sou, koitas poly oraia simera $targetfirstname! / やぁ、今日はまた一段と綺麗だね$targetfirstname！
v2;30;Sas efcharisto! / ありがとう！
v1;60;Opos panta, agapite mou! / いつだってあなたを愛しているよ！

newchat;key:flirt3,v1:male,v2:female,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Hey $targetfirstname, kanei mia omorfia opos eseis thelete einai ena omorfos antras san ki emena? / やぁ$targetfirstname、君のように美しい女性へ僕のようにハンサムな男性はいかがかな？
v2;40;Eiste pantremenos, kai eimai toso kala. / あなたは既婚者だし、私も結婚しているわ
v2;60;Ypotheto oti den eiste pistoi! Tha po sti gynaika sas! / それに不純だと思うの。あなたの奥さんに言っちゃうから！
v1;75;OCHI - Min kanete tha- / いや、ちょっとやめてくれ
v1;85;Eimai kako didymo adelfo tou! / 勘違いだよ、僕は双子の弟の方だってば！
v2;120;Fysika eiste! To idio kako didymo pou einai panta methysmenos! / そうでしょうとも！いつも酔っぱらっている浮気症の双子ね！

newchat;key:flirt4,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:10
v1;0;Pos tha me gynaika-ta pragmata sas? / 主婦はどうだい？
v2;30;Kali kali, ektos apo tin aisthisi ligo aschima ... / まぁまぁかな、ちょっと悲しいことはあったけど
v1;60;O, ochi, ti synevi? / おやまぁ、何があったんだい？
v2;90;O syzygos mou mou fonaxe. / 夫に怒られてしまったの
v1;120;Pos borei o idios se mia tetoia omorfia? / こんな美しい人になんてことを
v2;150;Sas efcharistoume gia epeffimies mou epano, $targetfirstname! / ありがとう、ちょっと元気がでたわ$targetfirstname！

newchat;key:flirt5,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:10
v2;0;*urgh* / *はぁー*
v1;30;Eisai entaxei, $targetfirstname? / $targetfirstname大丈夫？
v2;50;Nai, afto einai mono i skliri douleia! / えぇ、ちょっと大変だったの
v1;70;Boro na sas voithiso? Tha aisthantheite kalytera sti synecheia? / 手伝おうか？何か気休めになることは？
v2;90;Fysika! Sas efcharistoume! / えぇ！すごく助かります！

newchat;key:flirt6,v1:male,v2:female,v1:adult,v2:adult,,weigth:10
v1;0;Pos paei? / 調子はどう？
v2;30;Ola einai mia chara, ti gia sas? / 何も問題ないわ、そっちはどう？
v1;60;Einai para poly! Efcharisto gia tin erotisi. / 私もさ、気にしてくれてありがとう！
v1;75;Alla vlepo oti yparchei kati pou sas enochlei! / でも、君は何か気になることがあるようだね
v2;90;Einai - tipota. / 何でもないわ
v1;110;Parakalo peite mou! / 言ってごらん
v2;130;Einai mono oti i zoi mou edo einai toso vareti. / ここの生活がちょっと退屈なの
v2;160;Efchomai pragmatika eicha apofasisei na paei se mia poli otan imoun neos! / 若い時に街へ行くって決めていればなぁってね！

newchat;key:brothertalk1,v1:male,v1:adult,v2:male,v2:adult,rel:sibling,weigth:10
v1;0;Adelfos $targetfirstname, einai kalo na sas doume! / $targetfirstname！会えて嬉しいよ！
v1;30;Vrika ton palio xylino spathi mas! / 昔使ってた木刀を見つけたもんでね！
v1;50;Thymaste? / 覚えてる？
v2;80;Perimenete! Einai afto to xifos tou patera mas, mas edose? / 待てよ、父がくれた剣かな？
v1;110;Einai! Thymaste tous agones mas me afto? / そうそれ！喧嘩したのは覚えているかい？
v2;140;Pos tha borousa na xechaso! Exakoloutho na echo kapoia simadia. / 忘れるわけ無いだろう？あの時の傷は今も残ったままだ
v2;170;An skefteste perissotero gi 'afto ... / 思い返せば...
v2;200;Itan to eidos tis skliris tou patera mas gia na mas dosei mono ena spathi! / 父は酷いと思わないか？渡してくれた剣はたった一本だぞ！
v2;240;Ixere oti tha agonistoume gia afto! / 父は僕らが剣を奪い合って喧嘩するとわかっていたはずなのに！
v1;270;Ypotheto oti einai entaxei! / 別にそれで良かったんじゃないかな！
v2;300;Epeidi to kratisa! / そりゃ、お前が持って行ったからだろ！

newchat;key:sistertalk1,v1:female,v1:adult,v2:female,v2:adult,rel:sibling,weigth:10
v1;0;Thymaste ton iniocho pou agapise toso poly stin paidiki ilikia mas? / 子どもの頃に大好きだった御者を覚えてる？
v2;30;Apo tin adelfi poreia. Imastan oi megalyteroi opadoi! / もちろんよ姉さん。大ファンだったもの
v1;60;Anarotiemai ti synevi s 'afton. / 彼はどうなったのかしら
v1;90;Tha akousei tipota gi 'afton pia ... / 彼のことは何も聞かなくなって久しいですこと...
v2;120;Einai pithanon enkatastathikan s 'ena chorio san ti diki mas kai eiche mia syzygo kai ta paidia. / うちと同じような村に落ち着いて、奥さんと子供ができたんじゃないかしら
v1;150;Telos panton exakoloutho na elpizo na ton synantiso kapoia stigmi! / いずれにせよ、またいつか彼に会いたいわぁ！
v2;180;Ki ego! / 私もです！

newchat;key:brothersister,v1:male,v1:adult,v2:female,v2:adult,v2:hasspouse,rel:sibling,weigth:10
v1;0;$targetfirstname, i adelfi mou, panta ithela na matho giati pantreftike afto to trantagma. / $targetfirstname姉さん、なぜあんな奴と結婚したんだい？
v2;30;Epeidi ton agapo! / 愛してるからよ！
v1;60;Kai tora to onoma sas einai $targetlastname. $targetlastname! Akougetai toso kako! / それで今は$targetlastnameだよ。$targetlastnameさん！ひっどい名前だね！
v2;90;Hey! Min simainei etsi! Itan eseis pou xekinise i synkrousi. / ちょっと！そんなに意地悪しないで！喧嘩を始めたのはあなたの方よ
v2;110;Tha itan methysmenos! / 姉さんは酔ってたでしょ！

//newchat;key:religious1,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:male,weigth:10
//v1;0;$targetfirstname, o gios mou, ego den eida na prosefchetai simera! / $targetfirstname、今日は祈っているところを見なかったぞ！
//v2;30;Pateras $targetlastname, ego sigoura ekane. / $targetlastname様、もちろんしましたよ

//newchat;key:religious2,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:female,weigth:10
//v1;0;$targetfirstname, kori mou, ego den eida na prosefchetai simera! / $targetfirstname、今日は祈っているところを見なかったぞ！
//v2;30;Pateras $targetlastname, ego sigoura ekane. / $targetlastname様、もちろんしましたよ

//newchat;key:religious3,v1:vtype:metropolit_byzantine-pastor_byzantine,v2:female,weigth:10
//v1;0;$targetfirstname, kóri mou, eísai eirinikí sto myaló sou? / $targetfirstnameよ、今日も穏やかですか？
//v2;30;Patér $targetlastname, Den eímai eirinikós, apó tóte pou ftásame edó, aisthánomai óti ypárchei káti diaforetikó. / $targetlastname様、穏やかではいられません。ここに来てからずっと違和感を感じています
//v1;60;Teknon mou, polloí apó emás aisthánontai óti ypárchei káti diaforetikó edó./ わがいとし子よ、他の人も違和感を感じているようです
//v2;90;Allá ti boró na káno? I zoí mou edó tha eínai gia pánta diaforetikí. / しかし私に何ができるでしょうか？ここで私の人生は永遠に変わってしまうのでしょうか？
//v1;120;To móno pou boroúme na kánoume eínai na prosefchómaste. O Theós panta échei éna schédio gia mas. / 私たちにできることは祈ることです。神は道を示してくださるでしょう

//newchat;key:religious4,v1:vtype:metropolit_byzantine-pastor_byzantine,v2:male,weigth:10
//v1;0;$targetfirstname, gie mou, eíste eirinikós sto myaló? / $targetfirstnameよ、今日も穏やかですか？
//v2;30;Pater, Den eímai eirinikós, apó tóte pou ftásame edó, aisthánomai óti ypárchei káti diaforetikó. / $targetlastname様、穏やかではいられません。ここに来てからずっと違和感を感じています
//v1;60;Teknon mou, polloí apó emás aisthánontai óti ypárchei káti diaforetikó edó./ わがいとし子よ、他の人も違和感を感じているようです
//v2;90;Allá ti boró na káno? I zoí mou edó tha eínai gia pánta diaforetikí edó. / しかし私に何ができるでしょうか？ここで私の人生は永遠に変わってしまうのでしょうか？
//v1;120;To móno pou boroúme na kánoume eínai na prosefchómaste. O Theós panta échei éna schédio gia mas. / 私たちにできることは祈ることです。神は道を示してくださるでしょう

//newchat;key:ticlon,v1:notvtype:pastor_byzantine-metropolit_byzantine,v2:vtype:pastor_byzantine-metropolit_byzantine,weigth:1
//v1;0;Patér $targetlastname, otan proséfchithika, eída kápoia períerga sýmvola../ 神父$targetlastname様、祈っている時に奇妙なシンボルを見たのです
//v2;30;Ti sou edeixe o Theos, teknon mou?/ わが子よ、主はあなたに何を見せたのです？
//v1;60;Patér, ta sýmvola ítan "Tiklón". Xérate ti ennooún? / 神父様、そのシンボルは Ticlon でした。意味がわかりますか？
//v2;90;O Theós doulévei me mystiriódi trópo... / 神は不思議な働きをされるものだ...

newchat;key:seljuks,v1:adult,v2:adult,weigth:10
v1;0;Échete akoúsei gia tous Tourkalades apó ti stigmí pou ftásame edó? / ここに来てからセルジューク帝国の話を聞いた？
v2;30;Óchi, nomizeis oti mas akolouthisan? / いや、聞いてないぞ。私たちと一緒にこの世界にやって来たと考えているのか？
v1;60;Amfivállo, échoume ídi akoúsei apó anthrópous pou den gnorízame óti ypírchan. / そうかもしれない。私たちはすでに存在を知らなかった別の民族と出会っているからね
v2;90;Ypothéto óti prépei na kánoume néous echthroús se aftí ti gi. / この地で新たな敵を想定する必要がありそうだな
v1;120;Échoume akóma tous Normandoús na antimetopísoume. / ノルマンの対処も必要だしなぁ
v2;150;Loipón, eímaste Romaíoi! Boroúme éfkola na nikísoume tétoious epidromeís, sti Rómi! / だが、我々はローマ帝国だ！我々は略奪者を簡単に打ち負かすことができる、ローマのために！
v1;165;Sti Rómi! / ローマのために！

//newchat;key:noBakery,building:farm,notbuilding:windmill,v1:adult,v2:adult,weigth:15
//v1;0;Ach, poios den thélei frésko, nóstimo psomí apó to agróktima sitarioú? / あぁ、あの畑から収穫した小麦を使って、焼きたての美味しいパンを食べたくない人なんていないよね？
//v2;30;Xérete óti chreiazómaste éna artopoieío gia na metatrépsoume to sitári se psomí sostá? / そのためには、パン屋が必要なのはわかっているよね？
//v1;60;Prépei na me gelás. Tóra tha petháno. / ふざけてるんですか。今にも飢え死にしそうなんだよ
//v2;90;Limoktoneis? Símera to proí efáges to proinó mou! Tha eímai o peinasménos. / 飢えてるって？今朝私の朝食まで食べましたよね！飢えてるのはこっちだよ！
//v1;120;To chreiázomoun perissótero apó oti eséna! / もっとごはんが必要なの！
//v2;150;Den xéro giatí sou miláo! / なんであんたなんかと話してるんだろう
//v1;180;Chreiazómaste éna artopoieío, aftó eínai simantikó. / パン屋さんが必要なの、それが一番大事なの

newchat;key:normans,v1:adult,v2:adult,weigth:6
v1;0;Akoúsate gia to kontinó Normandiko chorió? / 近くにノルマンの村があるそうだ
v2;30;Aftó den eínai kaló, thymámai óti synéchizan na epitíthentai sti nótia Italía protoú ftásoume edó. / 良くないな。奴らは前の世界で南イタリアへ侵攻していたのをはっきり覚えている...
v1;60;As elpísoume óti den tha mas epitethoún. / 襲撃されないことを祈ろう
v2;90;To elpízo kai egó. / 私もそう願うよ

newchat;key:constantinople,v1:adult,v2:adult,weigth:9
v1;0;Anarotiémai ti synévi stin Konstantinoúpoli? / コンスタンティノープルはどうなったのかな？
v2;30;Nomízo óti írthe edó mazí mas se aftí ti néa gi. / この新しい土地に一緒に来たんじゃないかな
v1;60;Giatí to pistéveis aftó? / どうしてそう思うの？
v2;90;Ézisa kontá sti megáli póli kai me odígisan edó. / あの都の近くに住んでいた私が今この場所にいるからね
v1;120;Eínai alítheia, allá échei tósous polloús anthrópous. Tha to eíchame akoúsei méchri tóra. / その通りだけど、帝都は人がとにかく多いから。もしこの世界に実在していたら、今頃は騒ぎになっているよ
v2;150;Tha boroúse na eínai polý makriá. / 遥か遠くにあるのかも
v1;180;Nai, allá i dóxa kai i megaloprépeia tis Konstantinoúpolis ítan tóso megáli pou akómi kai ánthropoi stin Kína ákousan gi 'aftin. / あぁそうだね、でもコンスタンティノープルの栄華と豪壮な威容は中国にも轟くほどなのに、この世界で噂すら聞かないのはおかしいんじゃないかなぁ
v2;210;Mi mou peíte óti pistévete se aftés tis istoríes gia tin Kína? / まさか、そんな中国の話を信じているのかい？
v1;240;Pistévo óti ypárchei kápoia alítheia se aftá. / 真実も含まれていると思うよ
v2;270;Allá ypárchoun tósa pollá mystíria gia tin Kína pou den boroúme na ypothésoume an ypárchei kápoia alítheia se aftá. / でも、中国については謎が多くて、真相を確かめる術がないよ
v1;300;Ypárchei tósa pollá mystíria an i Konstantinoúpoli eínai edó, étsi den boroúme na to ypothésoume. / コンスタンティノープルがこの地に誕生しているかどうかだって、確かめる術がないから同じようなものじゃないか
v2;330;Loipón, nai, allá akóma ki an i Konstantinoúpoli den eínai edó. Prépei na megalósoume kai na prostatépsoume ti Romaïkí Aftokratoría. / うーん、まぁそうか。たとえこの世界に帝都がなくても、ローマ帝国の歩みを止めてはならない
v1;360;Tóra boró na symfoníso mazí sas gia aftó! / それについてはその通りだと思う！
v2;390;Ithe i Rómi na diarkesei gia pánta! / ローマ帝国よ永遠なれ！

//newchat;key:baron1,v1:adult,v1:vtype:baron_byzantine,v2:adult,v2:male,v2:notvtype:pastor_byzantine,weigth:10
//v1;0;Óra na plirósete tous fórous sas. / 税の徴収に来たぞ
//v2;30;Lypámai, allá den ímoun se thési na sygkentróso arketoús pórous. / 申し訳ないのですが、十分な資材を集めることができませんでした
//v1;60;Thélete na sas ekdióxo apó to chorió? / 無慈悲にも今すぐこの村から追放されたいのか？
//v2;80;Ochi... / 嫌です...
//v1;90;Tote frete mou tous forous TORA! / なら今すぐ納める税を持って戻ってきなさい！
//v2;120;Entáxei, entáxei. / わかりました、わかりましたよもう

newchat;key:Inuit,v1:adult,v2:adult,weigth:10
v1;0;Norítera, miloúsa me énan byzantinó émporo kai mou eípe gia choriá makriná sto chióni. / 前に商人と話してたんだが、彼は雪の中にある村のことを教えてくれたんだ
v2;30;Choriá sto chióni? / 村が雪原の中に？
v1;60;Nai, onomázontai "Inuites". / あぁ、「イヌイット」と呼ばれているそうだ
v2;90;Inuites? Ti paráxeno ónoma, pos ítan?/ イヌイット？変な名前だな、どんな人たちだったんだろう？
v1;120;O émporos eípe óti den dexonte chrímata. / 商人曰く、貨幣を信じていないそうだ
v2;150;Den dexonte chrímata ?! Pós tha boroúsan na zísoun? / えっお金を信用していない？どうやって暮らしているんだ？
v1;180;Óloi moirástikan ta pánta exísou. Itane polý dýskoli i diapragmátefsi mazí tous. / 彼らはすべてを村で平等に共有するそうだ。そのせいもあって、取引はかなり難しかったみたいでね
v2;210;Katakaimene empore. Touláchiston eínai píso sti Romaïkí Aftokratoría, makriá apó aftoús tous bárbarous. / 可哀相な商人よ。少なくとも、彼は野蛮人から離れてローマ帝国に戻ってきたが
v1;240;Symfonó! I Romaïkí Aftokratoría eínai i kalýteri gi gia empório! / そうだな！ローマ帝国は最高の貿易地だ！

//newchat;key:notavern,v1:adult,v1:male,v2:adult,v2:male,notbuilding:taverna,weigth:25
//v1;0;Geiá sou! Den faínetai na eíste polý efcharistiménoi símera / こんにちは！今日は不機嫌そうだな
//v2;30;Nai, den ypárchei tavérna gia na pioúme. / あぁ、酒を楽しめる酒場がなくてね
//v1;60;Éfchomai na ypirche mia tavérna. Tóte tha boroúsame na pioúme romaïkó krasí. / 全くだな、この村にも酒場があればいいのに。そうすればローマのワインが飲める
//v2;90;An móno... / 酒場があればなぁ...

//newchat;key:soldiers1,v1:adult,v1:male,v1:vtype:soldier_byzantine,v2:adult,v2:male,v2:vtype:soldier_byzantine,weigth:3
//v1;0;Elpízo óti den tha chreiasteí na vgoúme éxo kai na polemísoume opoiondípote bárbaro ópote sýntoma. / 外に出ても、すぐに野蛮人と戦わなくて済むと良いんだがなぁ
//v2;30;Ti? Eímaste stratiótes, i douleiá mas eínai na bgoúme éxo kai na skotósoume bárbarous. Giatí tha beíte ston strató an den sas arései na agonízeste? / 何？私たちは兵士だぞ。野蛮人を殺すのが仕事だ。戦いが嫌いなら、どうして軍隊に入ったんだ？
//v1;60;Skéftika óti i zoi mou tha ítan efkolóteri, to móno pou perímena na káno eínai na stamatíso kai na skotóso lígous óchlous kai ton peristasiakó bárbaro. Allá tóra ótan skotóno éna várvaro, koitázo to prósopó tou kai skéftomai, "Ísos den prépei na skotónoume aftoús tous anthrópous". / あぁ、兵士になるのは簡単だと思っていたさ。村を巡回して暴徒や野蛮人を殺す、ただそれだけで良いとね。でも野蛮人を初めて殺した時、彼の顔を見て思っちまったんだ。この人たちを殺すべきではないなぁってね
//v2;120;Skéftesai pára polý! Vgeíte éxo kai skotóse kana bárbaro gia ti Rómi. Tha mas skotósoun kai tha katastrépsoun ta spítia mas! Eínai móno asyneíditoi ágrioi. / それは考えすぎだ！ローマ帝国のために、野蛮人は殺してしまえばいい。奴らは私達を殺戮して、お前の家も破壊するんだぞ！ただの野蛮人だ
//v1;150;Synantísate aftoús tous anthrópous pou kirýttete na skotónete? Óchi, den échete, ísos eínai diaforetikoí apó aftó pou mas eípan. / 殺せと命令されているあの連中に、お前は会ったことがあるのか？いや、そんなはずないだろう。多分、彼らは私たちが教え込まれたような輩とは異なるかもしれない
//v2;180;Pragmati, tha boroúsan na eínai polý cheiróteroi. / あぁ、そうかもな。もっと酷い輩やもしれん
//v1;210;Den nomízo óti katalavaínete tis sképseis kai ta deiná pou pernáo. / 私の意見や困惑を理解してくれないのか
//v2;240;Eímai stratiótis, óchi filósofos. Tha prépei na páte na prosefchitheíte sto Theó gia kathodígisi, kathós safós chreiázeste. / 一介の兵士であって、哲学者ではないからな。お前は導きを求めて神に祈りに行くべきだ
//v1;270;I prosefchí voithá se periódous psychikís krísis. Tha páo na proséfchomai tóra. / 精神的な苦痛には救いを求めて祈るしかないか。よし行ってくる
//v2;300;Elpízo óti o Theós tha balei ti sýnchysi sou. / 神があなたの混乱を解消してくださいますように

//newchat;key:soldiers2,v1:adult,v1:male,v1:vtype:soldier_byzantine,v2:adult,v2:male,v2:vtype:soldier_byzantine,weigth:3
//v1;0;Elpízo óti den tha chreiasteí na vgoúme éxo kai na polemísoume opoiondípote várvaro ópote sýntoma. / I hope we don't have to go out and fight any barbarians anytime soon.
//v2;30;Ti? Eímaste stratiótes, i douleiá mas eínai na vgoúme éxo kai na skotósoume várvarous. Giatí tha beíte ston strató an den sas arései na agonízeste? / What? We are soldiers, our job is to go out and kill barbarians. Why would you join the army if you don't like fighting?
//v1;60;Skéftika óti o stratiótis tha ítan efkolóteros, to móno pou perímena na káno eínai na stamatíso kai na skotóso lígous óchlous kai to peristasiakó várvaro. Allá tóra ótan skotóno éna várvaro, koitázo to prósopó tou kai skéftomai, "Ísos den prépei na skotónoume aftoús tous anthrópous". / I thought being a soldier would easier, all I expected to do is stand around and kill a few mobs and the occasional barbarian. But now when I kill a barbarian, I look at his face and think, "Maybe we shouldn't be killing these people."
//v2;120;Skéftesai pára polý! Vgeíte éxo kai skotóste várvarous gia ti Rómi. Tha mas skotósoun kai tha katastrépsoun ta spítia mas! Eínai móno asyneíditoi ágrioi. / You think too much! Go out and kill barbarians for Rome. They would kill us and destroy our homes! They are only uncivilized savages.
//v1;150;Synantísate aftoús tous anthrópous pou kirýttete na skotónete? Óchi, den échete, ísos eínai diaforetikoí apó aftó pou mas eípan. / Have you met these people that you are preaching to kill? No, you have not, maybe they are different from what we were told.
//v2;180;Eínai alítheia óti tha boroúsan na eínai polý cheirótera. / True, they could be much worse.
//v1;210;Den nomízo óti katalavaínete tis sképseis kai ta deiná pou pernáo. / I don't think you understand the thoughts and plight I'm going through.
